CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,City
771071958,Existing Customer,41,F,Graduate,Single,Less than $40K,Blue,28,7768,1669,0.215,New York
720466383,Existing Customer,59,M,High School,Unknown,$40K - $60K,Blue,46,14784,1374,0.093,New York
804424383,Existing Customer,63,M,Unknown,Married,$60K - $80K,Blue,56,10215,1010,0.099,New York
718813833,Existing Customer,44,F,Uneducated,Single,Unknown,Blue,34,10100,0,0,New York
806624208,Existing Customer,47,M,High School,Married,$40K - $60K,Blue,42,4785,1362,0.285,New York
778348233,Existing Customer,53,M,Unknown,Married,$80K - $120K,Blue,33,2753,1811,0.658,New York
712991808,Existing Customer,53,M,Uneducated,Married,$60K - $80K,Blue,48,2451,1690,0.69,New York
709029408,Existing Customer,41,M,Graduate,Married,$60K - $80K,Blue,36,8923,2517,0.282,New York
788658483,Existing Customer,53,F,College,Married,Less than $40K,Blue,38,2650,1490,0.562,New York
787937058,Existing Customer,58,M,Graduate,Married,$80K - $120K,Blue,49,12555,1696,0.135,New York
715318008,Existing Customer,55,F,College,Single,Less than $40K,Blue,36,3520,1914,0.544,New York
713962233,Existing Customer,55,F,Graduate,Married,Less than $40K,Blue,36,3035,2298,0.757,New York
785432733,Existing Customer,42,F,High School,Married,Less than $40K,Gold,36,15433,0,0,New York
715190283,Existing Customer,57,F,Graduate,Unknown,$40K - $60K,Blue,49,3672,886,0.241,New York
708300483,Attrited Customer,66,F,Doctorate,Married,Unknown,Blue,56,7882,605,0.077,New York
827111283,Existing Customer,45,M,Graduate,Single,$80K - $120K,Blue,41,32426,578,0.018,New York
758551608,Existing Customer,51,M,Unknown,Married,$40K - $60K,Blue,44,6205,2204,0.355,New York
773146383,Existing Customer,50,F,College,Single,$40K - $60K,Silver,43,17304,2517,0.145,New York
778493808,Existing Customer,49,M,High School,Married,$60K - $80K,Blue,37,3906,0,0,New York
720572508,Existing Customer,38,F,Graduate,Single,Unknown,Blue,28,9830,2055,0.209,New York
712661433,Existing Customer,49,M,Uneducated,Single,$80K - $120K,Blue,30,34516,0,0,New York
789172683,Existing Customer,56,M,Doctorate,Married,$60K - $80K,Blue,45,2283,1430,0.626,New York
738406533,Existing Customer,59,M,Doctorate,Married,$40K - $60K,Blue,52,2548,2020,0.793,New York
799723908,Existing Customer,46,M,High School,Married,$80K - $120K,Blue,40,19458,1435,0.074,New York
771490833,Existing Customer,52,M,College,Single,$80K - $120K,Blue,40,4745,1227,0.259,New York
720756708,Existing Customer,52,F,Unknown,Married,Less than $40K,Blue,41,2622,1549,0.591,New York
779471883,Attrited Customer,54,F,Graduate,Married,Less than $40K,Blue,40,1438.3,808,0.562,New York
711525033,Existing Customer,66,F,High School,Married,Less than $40K,Blue,54,3171,2179,0.687,New York
712813458,Existing Customer,49,M,Unknown,Married,$120K +,Blue,36,19763,2517,0.127,New York
714374133,Attrited Customer,56,M,Graduate,Married,$120K +,Blue,36,15769,0,0,New York
717891558,Existing Customer,49,F,Graduate,Unknown,Less than $40K,Blue,36,3298,2200,0.667,New York
716632758,Existing Customer,49,F,Graduate,Single,Less than $40K,Blue,36,2802,2363,0.843,New York
768563658,Existing Customer,56,M,Uneducated,Married,$40K - $60K,Blue,50,4458,1880,0.422,New York
711427458,Existing Customer,44,F,Graduate,Married,Unknown,Blue,35,6273,978,0.156,New York
714091983,Existing Customer,42,M,High School,Single,$60K - $80K,Blue,34,3336,1753,0.525,New York
787584108,Existing Customer,55,M,Unknown,Married,$80K - $120K,Blue,47,3436,2016,0.587,New York
712030833,Attrited Customer,48,M,Graduate,Married,$60K - $80K,Silver,35,34516,0,0,New York
711481533,Existing Customer,39,M,High School,Divorced,$60K - $80K,Blue,33,5926,1251,0.211,New York
710082708,Existing Customer,44,M,Post-Graduate,Single,$120K +,Blue,32,23957,2102,0.088,New York
708155733,Existing Customer,53,M,High School,Single,$120K +,Blue,44,14734,1634,0.111,New York
788979258,Existing Customer,51,M,Uneducated,Single,$80K - $120K,Silver,38,34516,1515,0.044,New York
807986133,Existing Customer,57,M,College,Married,$60K - $80K,Blue,52,6584,1817,0.276,New York
788730933,Existing Customer,44,F,Uneducated,Single,Less than $40K,Blue,20,2084,1468,0.704,New York
711314058,Existing Customer,49,M,Graduate,Married,$60K - $80K,Blue,32,1687,1107,0.656,New York
717975333,Existing Customer,50,M,Doctorate,Married,$80K - $120K,Blue,38,25300,1330,0.053,New York
715971108,Existing Customer,51,M,Graduate,Single,$120K +,Blue,42,34516,1763,0.051,New York
720096558,Existing Customer,55,F,Graduate,Married,Less than $40K,Blue,42,2216,1034,0.467,New York
719580033,Existing Customer,54,M,Graduate,Unknown,$60K - $80K,Blue,43,2910,2030,0.698,New York
820582308,Existing Customer,42,M,Uneducated,Married,$80K - $120K,Blue,37,22913,1528,0.067,New York
789973308,Existing Customer,44,M,College,Single,$60K - $80K,Blue,35,24312,1932,0.079,New York
712876233,Existing Customer,53,M,Graduate,Single,$80K - $120K,Blue,36,5272,1515,0.287,New York
804595158,Existing Customer,44,F,Graduate,Single,Less than $40K,Blue,36,7000,2517,0.36,New York
714826758,Existing Customer,37,F,Uneducated,Single,Less than $40K,Blue,29,7038,1801,0.256,New York
779058108,Existing Customer,49,M,Graduate,Divorced,$60K - $80K,Blue,30,2536,1823,0.719,New York
710790258,Existing Customer,47,M,Graduate,Married,$80K - $120K,Blue,38,28904,1899,0.066,New York
715623483,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,37,8567,1695,0.198,New York
715156383,Existing Customer,44,M,Unknown,Unknown,$120K +,Blue,36,34516,1533,0.044,New York
711013983,Attrited Customer,55,F,Unknown,Married,$40K - $60K,Blue,45,2158,0,0,New York
755420433,Existing Customer,59,F,Graduate,Married,Unknown,Blue,52,10133,1417,0.14,New York
794543958,Existing Customer,53,M,Graduate,Divorced,$80K - $120K,Blue,35,34516,1219,0.035,New York
716396358,Existing Customer,52,M,Graduate,Married,$60K - $80K,Blue,47,3085,1910,0.619,New York
715398033,Existing Customer,53,M,High School,Single,$120K +,Blue,35,19040,2056,0.108,New York
711743883,Existing Customer,43,F,Uneducated,Single,Less than $40K,Blue,35,4026,0,0,New York
719720058,Existing Customer,44,M,High School,Single,$60K - $80K,Blue,31,12756,837,0.066,New York
778992108,Existing Customer,57,M,Unknown,Married,$120K +,Blue,45,5266,0,0,New York
717539808,Existing Customer,51,F,High School,Single,Less than $40K,Blue,36,9930,0,0,New York
714070758,Existing Customer,49,M,High School,Single,$80K - $120K,Blue,38,31302,1953,0.062,New York
714107958,Existing Customer,45,M,Graduate,Single,$40K - $60K,Blue,36,6576,0,0,New York
789140283,Existing Customer,53,M,Graduate,Single,$80K - $120K,Blue,42,2664,2037,0.765,New York
715550508,Existing Customer,45,F,Unknown,Married,Unknown,Blue,28,2535,2440,0.963,New York
719712633,Existing Customer,64,M,Graduate,Married,Less than $40K,Blue,52,1709,895,0.524,New York
772629333,Existing Customer,45,M,Graduate,Married,$40K - $60K,Blue,35,3454,1200,0.347,New York
720336708,Existing Customer,53,M,Doctorate,Married,$40K - $60K,Blue,35,3789,1706,0.45,New York
802013583,Existing Customer,56,M,College,Married,$120K +,Blue,50,9689,2250,0.232,New York
711887583,Attrited Customer,47,M,Unknown,Married,$80K - $120K,Blue,37,5449,1628,0.299,New York
714778833,Existing Customer,49,F,College,Single,Unknown,Blue,43,23032,1960,0.085,New York
713843283,Existing Customer,41,F,Unknown,Married,Unknown,Silver,34,34516,2053,0.059,New York
779155158,Existing Customer,53,M,Graduate,Married,$120K +,Blue,34,2940,1264,0.43,New York
721091583,Existing Customer,44,F,Graduate,Single,Less than $40K,Blue,32,3031,1879,0.62,New York
713572683,Existing Customer,44,M,High School,Unknown,$60K - $80K,Blue,25,1862,0,0,New York
716657058,Existing Customer,43,F,Post-Graduate,Married,Less than $40K,Blue,33,8358,926,0.111,New York
779509983,Existing Customer,53,M,Post-Graduate,Single,$120K +,Blue,36,34516,931,0.027,New York
717929133,Existing Customer,44,M,Uneducated,Married,$60K - $80K,Blue,36,14450,2440,0.169,New York
808284783,Existing Customer,62,F,Unknown,Married,Less than $40K,Blue,56,1438.3,0,0,New York
708476808,Existing Customer,54,M,Unknown,Divorced,$120K +,Blue,36,33791,1960,0.058,New York
710916408,Existing Customer,57,M,Graduate,Married,$60K - $80K,Blue,39,8466,1886,0.223,New York
708492558,Existing Customer,42,M,Unknown,Married,$60K - $80K,Blue,36,15088,865,0.057,New York
799825758,Existing Customer,42,M,High School,Divorced,$60K - $80K,Blue,36,3263,1674,0.513,New York
718619883,Existing Customer,54,F,Uneducated,Married,Less than $40K,Blue,36,1494,706,0.473,New York
711844758,Existing Customer,48,M,Graduate,Single,$80K - $120K,Blue,35,13551,1294,0.095,New York
714798783,Existing Customer,49,M,Graduate,Single,$80K - $120K,Blue,36,18886,895,0.047,New York
826762908,Existing Customer,52,M,High School,Unknown,$80K - $120K,Blue,48,11976,1273,0.106,New York
771894558,Existing Customer,50,M,High School,Single,$80K - $120K,Blue,39,9964,1559,0.156,New York
721074183,Existing Customer,49,M,Doctorate,Married,$60K - $80K,Blue,36,24159,1196,0.05,New York
715259583,Existing Customer,53,F,High School,Married,Less than $40K,Blue,44,5362,1901,0.355,New York
718414008,Existing Customer,50,M,Graduate,Single,$120K +,Blue,36,34516,1023,0.03,New York
719666283,Existing Customer,55,F,Doctorate,Married,Less than $40K,Blue,36,3174,1951,0.615,New York
714877233,Existing Customer,53,M,High School,Married,$80K - $120K,Blue,47,12262,1836,0.15,New York
785387883,Existing Customer,47,F,High School,Single,$40K - $60K,Blue,41,3788,1540,0.407,New York
771075258,Existing Customer,55,M,College,Single,$120K +,Silver,42,34516,1527,0.044,New York
711318033,Existing Customer,47,M,Graduate,Single,$60K - $80K,Blue,36,2926,0,0,New York
783554958,Existing Customer,58,M,Graduate,Single,$120K +,Blue,52,32090,0,0,New York
720201033,Attrited Customer,53,M,Graduate,Married,$80K - $120K,Blue,41,11669,2227,0.191,New York
718039683,Existing Customer,52,M,High School,Single,$40K - $60K,Blue,45,13532,1300,0.096,New York
710806083,Existing Customer,50,F,Uneducated,Unknown,Less than $40K,Silver,36,11888,2090,0.176,New York
714752208,Existing Customer,42,F,Graduate,Married,Less than $40K,Blue,36,2393,1985,0.83,New York
822063408,Existing Customer,43,M,Unknown,Married,$40K - $60K,Blue,39,6111,2517,0.412,New York
714490308,Existing Customer,57,M,Graduate,Married,$80K - $120K,Blue,46,19270,1662,0.086,New York
713356833,Existing Customer,52,M,Graduate,Married,$80K - $120K,Blue,43,3710,2517,0.678,New York
711402333,Existing Customer,47,M,Doctorate,Single,Less than $40K,Blue,37,3235,797,0.246,New York
708296883,Existing Customer,44,F,Graduate,Single,$40K - $60K,Blue,38,11749,788,0.067,New York
719154483,Existing Customer,53,M,High School,Divorced,$60K - $80K,Blue,36,7753,2100,0.271,New York
717721458,Existing Customer,45,M,College,Divorced,$60K - $80K,Blue,40,10408,1186,0.114,New York
711112683,Existing Customer,63,F,College,Married,Unknown,Blue,36,3967,1568,0.395,New York
715674483,Existing Customer,39,F,Post-Graduate,Single,Less than $40K,Blue,27,6205,2517,0.406,New York
789322833,Attrited Customer,48,F,High School,Married,Less than $40K,Blue,38,8025,0,0,New York
789968058,Existing Customer,51,M,Unknown,Single,$120K +,Blue,42,9036,2327,0.258,New York
709919283,Existing Customer,54,M,Graduate,Married,$80K - $120K,Blue,34,14926,2517,0.169,New York
718744008,Existing Customer,59,F,Graduate,Single,Less than $40K,Blue,36,6335,1128,0.178,New York
767712558,Attrited Customer,59,M,College,Single,$60K - $80K,Blue,53,14979,0,0,New York
712950783,Attrited Customer,48,F,Uneducated,Married,Less than $40K,Blue,38,2732,0,0,New York
716104983,Existing Customer,41,F,Graduate,Single,Less than $40K,Blue,32,2250,2117,0.941,New York
818839983,Existing Customer,55,M,Graduate,Married,$120K +,Blue,50,10916,1536,0.141,New York
772288758,Existing Customer,47,F,Graduate,Married,Unknown,Blue,36,5349,1228,0.23,New York
712350858,Existing Customer,41,M,High School,Married,$80K - $120K,Blue,24,9366,1104,0.118,New York
711009708,Existing Customer,40,M,High School,Single,$80K - $120K,Blue,28,21617,0,0,New York
712720158,Existing Customer,68,M,Graduate,Married,Unknown,Blue,56,13860,1652,0.119,New York
712215258,Existing Customer,50,F,Graduate,Single,$40K - $60K,Silver,31,18386,0,0,New York
773827008,Existing Customer,47,M,Uneducated,Single,$60K - $80K,Blue,41,2405,1540,0.64,New York
795232683,Existing Customer,53,F,College,Married,Less than $40K,Blue,47,2154,930,0.432,New York
713786508,Existing Customer,42,F,Unknown,Married,$40K - $60K,Blue,36,2038,0,0,New York
713539833,Existing Customer,48,F,High School,Single,$40K - $60K,Blue,38,8135,0,0,New York
712454058,Existing Customer,49,M,Doctorate,Married,$120K +,Blue,38,9364,618,0.066,New York
718759833,Existing Customer,44,F,Uneducated,Married,Unknown,Silver,35,32643,0,0,New York
718803333,Existing Customer,43,F,Graduate,Divorced,Less than $40K,Blue,34,3195,1954,0.612,New York
720253908,Existing Customer,56,M,High School,Married,$80K - $120K,Blue,43,2852,1024,0.359,New York
714133158,Existing Customer,59,F,College,Single,Unknown,Blue,36,4224,1305,0.309,New York
713187033,Existing Customer,46,M,Uneducated,Married,$60K - $80K,Blue,36,20459,2071,0.101,New York
714791208,Existing Customer,47,F,Unknown,Divorced,Less than $40K,Blue,41,3482,2114,0.607,New York
772426383,Existing Customer,50,F,Uneducated,Married,$40K - $60K,Blue,40,3065,1570,0.512,New York
710975883,Existing Customer,51,F,Uneducated,Married,Less than $40K,Blue,43,2185,1761,0.806,New York
714264408,Existing Customer,47,F,Uneducated,Married,Less than $40K,Blue,36,1611,746,0.463,New York
715827858,Existing Customer,58,F,Uneducated,Married,Less than $40K,Blue,47,2822,2173,0.77,New York
713741358,Attrited Customer,46,M,Graduate,Single,$80K - $120K,Blue,33,32975,2517,0.076,New York
709531908,Existing Customer,53,M,High School,Married,$60K - $80K,Blue,47,1438.3,0,0,New York
716493408,Existing Customer,45,F,Uneducated,Divorced,Unknown,Blue,36,15875,1719,0.108,New York
714141108,Existing Customer,52,F,High School,Married,Less than $40K,Blue,45,6703,893,0.133,New York
708953883,Attrited Customer,53,M,Unknown,Married,$80K - $120K,Blue,36,3212,0,0,New York
712608783,Existing Customer,50,M,High School,Married,$80K - $120K,Silver,45,34516,1260,0.037,New York
820353558,Existing Customer,41,F,High School,Married,$40K - $60K,Blue,36,9797,1434,0.146,New York
714964758,Existing Customer,45,F,Graduate,Divorced,$40K - $60K,Blue,36,10400,1777,0.171,New York
716264358,Existing Customer,53,M,Uneducated,Married,$80K - $120K,Blue,42,26792,1836,0.069,New York
717296808,Existing Customer,67,F,Graduate,Married,Less than $40K,Blue,56,3006,2517,0.837,New York
712977183,Existing Customer,57,F,Uneducated,Single,$40K - $60K,Silver,36,19482,1072,0.055,New York
710829108,Existing Customer,59,F,Uneducated,Married,$40K - $60K,Blue,36,3356,985,0.294,New York
779562633,Existing Customer,45,M,Uneducated,Married,$40K - $60K,Blue,34,5771,2248,0.39,New York
715315833,Existing Customer,51,M,Graduate,Married,$80K - $120K,Blue,36,11106,2107,0.19,New York
815500983,Existing Customer,59,F,Uneducated,Married,Less than $40K,Blue,54,2890,2001,0.692,New York
719360583,Existing Customer,53,M,Graduate,Married,$60K - $80K,Blue,45,3380,1701,0.503,New York
709701558,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,36,21331,1251,0.059,New York
721148358,Existing Customer,49,F,Uneducated,Single,Unknown,Blue,38,12860,0,0,New York
779862408,Existing Customer,49,M,Post-Graduate,Single,$80K - $120K,Blue,33,6278,462,0.074,New York
812627208,Existing Customer,60,F,College,Single,Less than $40K,Blue,55,1438.3,738,0.513,New York
711033408,Existing Customer,50,F,High School,Married,Less than $40K,Blue,36,9355,1626,0.174,New York
779956608,Existing Customer,41,F,Post-Graduate,Married,Unknown,Blue,31,20758,0,0,New York
780376683,Existing Customer,57,M,Graduate,Married,$80K - $120K,Blue,47,14612,1976,0.135,New York
717912483,Existing Customer,43,M,Graduate,Unknown,$80K - $120K,Blue,27,27259,0,0,New York
714454758,Existing Customer,57,F,Graduate,Married,Less than $40K,Blue,47,6347,1594,0.251,New York
780466533,Existing Customer,54,M,Doctorate,Married,$120K +,Blue,41,21592,1676,0.078,New York
715735233,Existing Customer,51,F,Post-Graduate,Married,Less than $40K,Blue,44,3449,1598,0.463,New York
720476733,Existing Customer,47,F,High School,Married,Less than $40K,Blue,34,6028,799,0.133,New York
715872333,Existing Customer,41,M,High School,Unknown,$120K +,Blue,36,18214,1998,0.11,New York
712375758,Existing Customer,53,M,Uneducated,Married,$80K - $120K,Blue,43,16393,1423,0.087,New York
708868233,Attrited Customer,68,M,High School,Married,Less than $40K,Blue,52,1438.3,900,0.626,New York
718030083,Existing Customer,59,M,College,Married,$60K - $80K,Blue,36,7871,1687,0.214,New York
720707283,Existing Customer,48,M,Unknown,Married,$80K - $120K,Blue,36,5288,866,0.164,New York
771698658,Existing Customer,44,M,Graduate,Married,$60K - $80K,Blue,32,11376,2006,0.176,New York
748326258,Existing Customer,48,M,College,Married,$80K - $120K,Blue,41,12302,1632,0.133,New York
770817783,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,33,34516,1679,0.049,New York
779353083,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,32,34516,1468,0.043,New York
711441333,Existing Customer,43,F,High School,Divorced,Less than $40K,Silver,35,10514,1580,0.15,New York
719808558,Attrited Customer,55,F,Graduate,Married,Less than $40K,Blue,43,1438.3,0,0,New York
711551958,Attrited Customer,59,M,Post-Graduate,Married,$60K - $80K,Blue,46,1438.3,0,0,New York
809164083,Existing Customer,63,M,Graduate,Married,$40K - $60K,Blue,56,2619,1779,0.679,New York
820596183,Existing Customer,58,M,College,Married,$120K +,Blue,53,24407,2395,0.098,New York
715999608,Existing Customer,53,F,High School,Married,Less than $40K,Blue,36,2377,1649,0.694,New York
710565408,Existing Customer,59,M,Unknown,Unknown,$80K - $120K,Silver,40,34516,1359,0.039,New York
805543158,Existing Customer,52,M,Graduate,Married,$120K +,Blue,47,11086,2207,0.199,New York
709752183,Existing Customer,48,M,High School,Single,$60K - $80K,Blue,36,11432,2517,0.22,New York
716479233,Existing Customer,43,M,High School,Married,$40K - $60K,Blue,36,13258,1721,0.13,New York
713837058,Existing Customer,48,M,College,Single,Less than $40K,Blue,36,2571,1955,0.76,New York
718876683,Existing Customer,43,F,Graduate,Single,Less than $40K,Blue,31,5781,1168,0.202,New York
770746908,Existing Customer,44,M,Unknown,Married,$60K - $80K,Blue,30,7872,2509,0.319,New York
794843883,Existing Customer,41,M,High School,Married,$80K - $120K,Blue,35,34516,1202,0.035,New York
803043933,Existing Customer,44,F,Uneducated,Divorced,Less than $40K,Silver,38,11127,1835,0.165,New York
758076408,Existing Customer,50,M,Unknown,Single,$40K - $60K,Blue,43,1857,1603,0.863,New York
714606558,Existing Customer,60,F,Uneducated,Married,Less than $40K,Blue,36,1913,1272,0.665,New York
778425408,Existing Customer,44,M,Graduate,Single,$80K - $120K,Blue,24,3839,2295,0.598,New York
714171108,Existing Customer,48,F,Graduate,Divorced,$40K - $60K,Blue,39,2115,1141,0.539,New York
719662458,Existing Customer,44,F,Graduate,Divorced,Less than $40K,Blue,27,1438.3,679,0.472,New York
713137233,Existing Customer,41,M,High School,Single,$80K - $120K,Blue,28,27756,1789,0.064,New York
769425858,Existing Customer,45,M,College,Single,$60K - $80K,Blue,32,1438.3,0,0,New York
711297483,Existing Customer,47,F,Uneducated,Divorced,Less than $40K,Silver,34,13878,2222,0.16,New York
788900883,Existing Customer,51,F,Graduate,Married,Less than $40K,Blue,36,3106,1304,0.42,New York
758348808,Existing Customer,51,M,Graduate,Married,$120K +,Blue,44,34516,1666,0.048,New York
772336458,Attrited Customer,60,F,Uneducated,Married,$40K - $60K,Blue,50,1438.3,1025,0.713,New York
708711483,Existing Customer,57,M,Unknown,Married,$80K - $120K,Blue,46,18871,1740,0.092,New York
717906783,Existing Customer,41,M,Graduate,Single,$120K +,Blue,29,5207,1748,0.336,New York
719437908,Existing Customer,44,M,Post-Graduate,Divorced,$80K - $120K,Blue,36,17965,1644,0.092,New York
769433508,Existing Customer,43,M,College,Single,$60K - $80K,Blue,37,2733,1819,0.666,New York
790096533,Existing Customer,55,M,College,Married,$60K - $80K,Blue,48,8863,1301,0.147,New York
720997383,Attrited Customer,52,M,Uneducated,Married,$80K - $120K,Blue,36,1857,1833,0.987,New York
787541883,Existing Customer,44,M,Graduate,Unknown,$80K - $120K,Blue,33,34516,0,0,New York
709930758,Existing Customer,41,M,Uneducated,Married,$40K - $60K,Blue,30,11107,1222,0.11,New York
789830058,Existing Customer,44,M,Unknown,Single,$80K - $120K,Blue,34,21573,1585,0.073,New York
710299608,Attrited Customer,53,F,Unknown,Married,Less than $40K,Blue,33,2859,2517,0.88,New York
710741208,Existing Customer,39,M,High School,Single,$80K - $120K,Blue,36,5269,1475,0.28,New York
821797008,Attrited Customer,49,M,College,Married,$40K - $60K,Blue,45,1438.3,0,0,New York
708874533,Attrited Customer,45,F,College,Married,Less than $40K,Blue,36,3387,0,0,New York
715341858,Existing Customer,54,M,Graduate,Married,$80K - $120K,Blue,46,1982,1289,0.65,New York
793636308,Existing Customer,49,M,Uneducated,Single,$80K - $120K,Blue,43,4645,1650,0.355,New York
713779908,Existing Customer,46,F,Doctorate,Single,Unknown,Blue,36,2189,1666,0.761,New York
712125258,Attrited Customer,46,M,High School,Married,$120K +,Blue,30,2442,0,0,New York
709703433,Existing Customer,47,M,Graduate,Married,$60K - $80K,Blue,38,21304,1532,0.072,New York
721022433,Existing Customer,44,M,Doctorate,Single,$60K - $80K,Blue,36,7577,2480,0.327,New York
710103558,Existing Customer,50,M,Post-Graduate,Single,$120K +,Blue,31,3234,1486,0.459,New York
715952883,Existing Customer,73,M,High School,Married,$40K - $60K,Blue,36,4469,1125,0.252,New York
719731458,Existing Customer,56,M,Unknown,Unknown,$40K - $60K,Blue,46,2910,709,0.244,New York
772390908,Attrited Customer,59,M,High School,Single,$40K - $60K,Blue,48,3616,1054,0.291,New York
787348608,Existing Customer,70,M,High School,Married,Less than $40K,Blue,56,3252,1495,0.46,New York
709485033,Existing Customer,55,F,High School,Married,Less than $40K,Blue,36,2358,1152,0.489,New York
715432608,Existing Customer,43,M,Unknown,Single,$60K - $80K,Blue,36,22322,953,0.043,New York
799471833,Existing Customer,45,M,Uneducated,Single,$120K +,Blue,39,3133,1510,0.482,New York
714187533,Existing Customer,45,F,Uneducated,Single,$40K - $60K,Blue,35,3540,849,0.24,New York
779656908,Existing Customer,40,M,Graduate,Married,$40K - $60K,Blue,23,6990,1378,0.197,New York
788950158,Existing Customer,36,M,College,Unknown,$80K - $120K,Blue,22,34516,1652,0.048,New York
778867533,Attrited Customer,59,F,Post-Graduate,Married,$40K - $60K,Blue,40,1438.3,0,0,New York
710620383,Existing Customer,43,M,Unknown,Married,$60K - $80K,Blue,35,24396,1171,0.048,New York
778661358,Existing Customer,46,F,Unknown,Married,Less than $40K,Blue,36,2474,2143,0.866,New York
789483333,Existing Customer,41,M,Uneducated,Married,$40K - $60K,Blue,32,5214,795,0.152,New York
809855808,Existing Customer,51,F,Graduate,Married,Less than $40K,Blue,46,5207,1650,0.317,New York
718464258,Existing Customer,51,F,Unknown,Unknown,Less than $40K,Blue,25,9512,1082,0.114,New York
708528483,Existing Customer,43,F,Graduate,Divorced,Unknown,Blue,23,3187,2430,0.762,New York
771809733,Attrited Customer,64,F,High School,Married,$40K - $60K,Blue,53,3353,0,0,New York
719942883,Existing Customer,54,M,Graduate,Married,$60K - $80K,Blue,38,2290,1434,0.626,New York
807226683,Existing Customer,48,M,Unknown,Single,$40K - $60K,Blue,43,5279,1115,0.211,New York
717806133,Existing Customer,40,M,Uneducated,Divorced,$60K - $80K,Blue,29,23603,0,0,New York
720615708,Existing Customer,57,M,Uneducated,Married,$40K - $60K,Blue,45,2601,0,0,New York
714511758,Existing Customer,45,M,Graduate,Single,$80K - $120K,Blue,40,6363,1029,0.162,New York
715050408,Existing Customer,41,M,High School,Single,$80K - $120K,Blue,36,8029,1576,0.196,New York
721132233,Existing Customer,42,F,Uneducated,Married,Less than $40K,Blue,31,2410,1769,0.734,New York
719211558,Attrited Customer,45,M,Graduate,Single,$60K - $80K,Blue,36,3401,0,0,New York
712069008,Existing Customer,42,F,Uneducated,Married,Less than $40K,Blue,23,2260,1007,0.446,New York
715996983,Existing Customer,47,M,Uneducated,Divorced,$80K - $120K,Blue,30,17682,2481,0.14,New York
773466258,Existing Customer,48,F,High School,Married,$40K - $60K,Blue,42,4206,1100,0.262,New York
798983508,Existing Customer,43,M,Graduate,Single,$80K - $120K,Silver,37,34516,1440,0.042,New York
719117433,Existing Customer,41,M,High School,Unknown,$80K - $120K,Blue,36,23018,2168,0.094,New York
